,
0,air putih
1,anggur
2,apel
3,ayam 
4,ayam geprek
5,bakso
6,bebek goreng
7,beet salad
8,bubur
9,burger
10,cheesecake
11,chicken wings
12,daging rendang
13,dendeng batokok
14,donat
15,durian
16,es krim
17,french fries
18,gado gado
19,gudeg
20,gulai ikan
21,gulai tambusu
22,gulai tunjang
23,hot dog
24,jeruk
25,kebab
26,kopi
27,macaroni and cheese
28,mangga
29,nasi goreng
30,nasi pecel
31,nasi putih
32,opor ayam
33,oysters
34,pancakes
35,pempek
36,pepes ikan
37,pisang
38,pizza
39,ramen
40,rawon
41,sate ayam
42,soto
43,spaghetti
44,steak
45,strawberry
46,sushi
47,tahu goreng
48,telur balado
49,telur dadar
50,tempe bacem
51,tempe goreng
52,tomato
53,watermelon
54,wortel